,user,star,time,comments
74,一期一会,3,2017-01-06,"该影视简介由豆瓣网专职人员撰写或者由影片官方提供，版权属于豆瓣网，未经许可不得转载或使用整体或任何部分的内容。

20世纪40年代末，小有成就的青年银行家安迪（蒂姆·罗宾斯 Tim Robbins 饰）因涉嫌杀害妻子及她的情人而锒铛入狱。在这座名为肖申克的监狱内，希望"
75,摇啊摇,5,2018-02-19,希望有朝一日中国也能拍出这种有深刻人生内涵的电影
76,深夜的光,5,2018-02-22,"一部没有女主,没有爱情的好电影！不可超越的励志佳片，真的很令人感动的美国电影！炒鸡推荐🎉五星绝对的！"
77,东篱,4,2018-01-20,经典老电影就是不一样，重温了无数遍呢
78,张jj,5,2018-02-05,懦怯囚禁人的灵魂，希望可以令你感受自由，强者自救，圣者渡人。经典
79,tlmgt,2,2014-02-01,有点好奇这部片为何被过度赞誉到这个地步···
80,大志的小耳朵,5,2016-12-28,精彩，永远别放弃，即使要很久以后才会成功。每天努力一点点，坚持不懈，总会有收获。
81,Vžņotas,2,2011-04-10,虚假的巧合被当作精妙对比，突兀的后果往往使人惊叹而不是受启发，脱离过去过于决绝。
82,炫3D,5,2017-03-17,总觉得美国大片更容易直面人性，直面真实的社会。
83,杨迪,5,2009-12-19,最后那一瞬间啊
84,滚滚的麻麻,5,2017-08-15,重看次数最多的电影
85,ceci🍰,5,2018-04-05,真的好好看呀，对得起它那么高的评分，我要找小说来看一遍了
86,A天涯任我行,4,2018-01-11,可以说这是越狱系列影片的鼻祖，故事情节细腻紧凑，从被迫入狱，在狱中斗智斗勇，夹缝中求生存，以及对重获自由的极度渴望，凭借超高的智商和过人的勇气，一次次化险为夷，最终和狱友成功逃离，获得自由。侧面揭露的社会黑暗及腐败不堪入眼的一面，值得深思回味
87,叫她孙女凯拉走,5,2017-03-22,要么忙着活，要么忙着死。
88,宇宙塑胶魔怪,2,2009-04-25,史上最有名的烂俗励志片，没有之一
89,Muto,2,2018-05-01,这部标记排名第一的电影被越来越体制化的大众标记为需求，但那虚构的希望恐怕是个偌大的笑话。根深蒂固的资本原则在被掌权者剥夺权利的《第七大陆》上呈现出多端的众生相，资本积累成了人们重返自由和尊严彼岸的唯一途径。因此《肖申克的救赎》最终是代表统治阶级的救赎，它与作为人的人没有任何关系。
90,豆辛瓜辛,4,2018-01-10,在这世上生存就得有一项特长，再者坚持就是胜利吧。
91,潇湘烟雨,5,2018-04-05,很经典的电影，也很励志，人不管身处何种境地永远不要放弃希望
92,Lycidas,5,2016-05-14,天知道第几次重看。它最伟大可贵的地方大概一方面是多层次嵌套的丰富主题，另一方面则是一种内在的timeless品质和情感表述，因此无论观众身处哪个时代，来自何种背景，抱持怎样的心理状态，都能够有效甚至不由自主地relate其中的某个角色或某段情节。
93,自然卷要卷毛,5,2018-02-17,我以为是个压抑影片，最后，我发现了希望的光。hope，谁也无法夺走，谁也无法消灭。这部影片，值得一看。
94,uranushb,5,2021-01-31,"Hope is good thing, and is everything."
95,爱吃糖的猫,5,2017-04-03,"It takes a strong man to save himself, and a great man to save another."
96,临渊羡鱼,5,2018-02-25,人的信念真的太强大，只要想做，而且坚持，总有一天会实现。知识的力量也是很强大的。看完这部电影，感觉自己又对美好的生活充满了向往。
97,sharon,5,2017-03-18,绝望里长出的希望能带来无限的勇气
98,豆瓣酱,4,2017-01-08,经典是可以反复品味的，安迪对生活和自由充满向往，出狱对他来说是新生;而早已习惯了监狱生活的瑞德，已变得麻木，出狱对他来说就是死亡。
99,齐木楠雄,5,2016-09-11,非常触动人心的经典
100,然悔悟,5,2017-03-18,很久以前就想看这部剧，今天终于看了。最震撼的就是安迪越狱的那一段，无论是配乐还是色彩或是安迪的动作神态，都掌握的很好！从此以后，他再也不用承担本不是他的惩罚，他，终于自由了！
101,八贝勒爷,4,2018-04-04,好多感受不能用语言表达，世界很糟糕也很美好，坚持才有希望
102,梦里诗书,5,2015-08-02,很难有一部电影能比《肖申克的救赎》能更好的诠释梦想与救赎这两个词的关联和真谛，电影予人带来心理的震撼与洗涤从未如此的深刻，主角安迪与男二黑人瑞德主辅相成的两条脉络营造了一个关乎追梦自由和心灵救赎最好的诠释，生活其实本就一直有着梦想，哪怕失败，只要能心拥梦想，便定能获得希望的救赎。
103,Muto,2,2018-05-01,这部标记排名第一的电影被越来越体制化的大众标记为需求，但那虚构的希望恐怕是个偌大的笑话。根深蒂固的资本原则在被掌权者剥夺权利的《第七大陆》上呈现出多端的众生相，资本积累成了人们重返自由和尊严彼岸的唯一途径。因此《肖申克的救赎》最终是代表统治阶级的救赎，它与作为人的人没有任何关系。
104,穆青,5,2017-05-08,懦怯囚禁人的灵魂  希望让人自由 强者自救  圣者渡人
105,Meursault,5,2021-01-30,你知道，有些鸟儿是注定不会被关在牢笼里的。
106,数峰青,5,2021-02-06,我想打100分，最大的感受除了，知识真的可以改变命运。还有要永远热爱生活。hope is  good thing.
107,Leon Winters W,5,2016-01-07,"影响自己人生观的一部电影，距离斯蒂芬·金（Stephen King）和德拉邦特（Frank Darabont）们缔造这部伟大的作品已经有十年了。我知道美好的东西想必大家都能感受，但是很抱歉，我的聒噪仍将一如既往。

在我眼里，肖申克的救赎与信念、自由和友谊有关。"
108,嘻嘻,5,2018-05-13,看到豆瓣排名第一，很好奇去看了这部电影，印象最深的就是图书馆的老爷爷坐50年牢出狱后因为适应不了外面的生活选择上吊自杀，最后男主获得自由，瑞德和男主在海边相遇很暖
109,🐈,5,2017-03-18,朋友在你的生命中进进出出，好像餐厅中的侍者来来去去一样。可是每当我想起那场梦、想到那两具尸体正用力拖我下水的时候，我就觉得这样也好。有的人会沉沦，如此而已，并不公平，但世事就是这样，有的人会沉沦下去。希望还是要有的，没了希望，怎么行
110,蔕,5,2018-11-02,重温，时间只是好电影的又一个证明。二十年前的经典，二十年后还是，同样的题材，有的过去能做到，有的今天也无法领悟，这就是差距。当故事最后两个老友在蔚蓝大海边重聚拥抱的时候，希望，是最好的，美好的事永不消逝。有人问，为何肖申克的救赎备受推崇。因为这部电影并不是在讲越狱，也可以这样说，它不是为了讲越狱。人活在这个世界，或多或少都会如同片中所述，经历“体制化”，磨难，逐渐麻木，看不到希望，如老布。而这部电影最终告诉你，哪怕过去20年、30年、40年，有希望，就会有美好的事，如安迪和瑞德。观众看完这部电影，内心会跟着这部电影走过一个由绝望到希望的历程。这是一场心灵的救赎，是对观众的。这是肖申克的救赎的伟大之处。
111,偏要勉强,5,2018-02-12,太经典了！值得反复推敲，每看一次都能得到新的体悟！
112,妈咪宝贝,5,2016-11-05,一个内心坚强有信念的人
113,美好时光只为你,5,2017-04-29,印象很深的一部电影，虽然很绝望，但永远不要放弃希望。
114,一蓑烟雨任平生,5,2018-04-23,电影塑造了一个充满希望，向往自由的男主人公形象。在身边的人都变得体制化之后，只有他是怀有希望之人。小说里面出现过两个人的旁白，一个是男主的好朋友，一个是看守图书馆的人，以这种别人的视角来诉说，更给人一种悬疑感和真实感。
115,👹天神的审判,4,2018-05-16,这个电影包含了友谊，艰辛，希望和梦想。之所以它获得了成功因为它感动了你，它给了你希望给了你启示！
116,途经一个你,5,2017-05-15,"I guess it comes to a simple choice, get busy living, or get busy dying."
117,一期一会,3,2017-01-06,"该影视简介由豆瓣网专职人员撰写或者由影片官方提供，版权属于豆瓣网，未经许可不得转载或使用整体或任何部分的内容。

20世纪40年代末，小有成就的青年银行家安迪（蒂姆·罗宾斯 Tim Robbins 饰）因涉嫌杀害妻子及她的情人而锒铛入狱。在这座名为肖申克的监狱内，希望"
118,扌丁月佥,4,2017-03-22,不管怎么说，真的很佩服男主的毅力，在那样的情况下一直没有迷失自己，追求自己向往的自由。
119,狗富贵,5,2017-05-05,最后奔跑拥抱那里真的好感动。
120,你读书少♂,3,2017-08-12,当然是一部好电影，但他现在已经被物化成的最廉价的鸡汤。如果最顶级的电影就是这样的话，那电影这门事物真的是太让人失望了，也完全算不上艺术。不过万幸的是它不是最好的电影，它只不过是最烂大街的好电影。 幸亏有更好的电影更有理想和艺术追求的电影在捍卫的电影在艺术造诣方面的底线和天花板，才让电影没有在一片营销号的鸡汤中沦落为最廉价的网络谈资和消费品。
121,三千岁,3,2014-07-22,不如《洞》《死囚越狱》的电影，这个电影长期霸占豆瓣top250首席，不知道何年何月能下来。
122,momo,5,2016-08-07,应该再看一遍
123,美女菜kun,5,2017-01-01,经典老片，一看再看。过几天再把书看一遍！
124,汪金卫,4,2009-11-10,不行了，我必须把五星改成四星！没有史蒂芬金的原著，这电影TMD啥也不是！
125,公子扶苏.,5,2018-01-13,这部电影好到，含义深刻到我不敢妄自评价……总之，力荐!
126,櫛森隅,5,2017-09-24,"永远不能失去的是希望。一个交心的挚友，一个聪明优秀的人，一份经年不变的毅力，是一只羽翼丰润，带着你的心飞出牢笼寻找希望的鸟儿。Get busy living,or get busy dying."
127,侯二六,5,2008-03-23,縱使《基督山伯爵》與《刺激一九九五》之間，場景與敘事手法的差異可謂不小，《刺激一九九五》卻比很多直接改編自《基督山伯爵》的影劇作品，更能體現《基督山伯爵》的精髓。全文：http://hou26.org/zeta/cristo.htm
128,Adiósardour,5,2010-10-13,我不断的想要重复一个危机的过程，然后得到一个好的结局。我总是希望有什么事情发生，我总是希望自己被拯救，我总是希望那种排除万难的悲情和成就感。我不知道自己为什么迷恋于挫败的感觉，迷恋于痛苦的感觉，迷恋于万劫不复的结局。
129,爱的镇魂歌,5,2017-01-24,隐忍布局与一触即发的翻盘，从讨酒、写信和广播几个事件中便能对男主内敛的思绪窥见一斑，全片除精彩外更多是积压一种对自由的渴望，冲破狭隘牢笼得到海阔天空，结局不甚美好。而片中上吊的老爷子，则是早已磨灭希望的消极典型，意在与男主形成对比。
130,芊颖,5,2018-06-04,今天才看的，很厉害啊……这种片中国……不得不说男主很厉害啊，聪明，机智……有点心疼老布
131,托尼·王大拿,5,2010-02-07,所谓造梦，大概就是这样，给人以希望与光明，令人感受到那一种震撼。
132,老人家,5,2018-03-07,看分数这么高的份上把电影看了一遍，也的确实至名归！一个鲨堡监狱里面的囚犯和官员似乎是我们这个社会的众生相。比如典狱长平时道貌岸然实则不择手段，残酷阴险贪婪…
133,LORENZO 洛伦佐,5,2010-05-04,值得看2遍以上的电影 没看过一定要看
134,婆婆丁,5,2021-08-11,恐惧让你沦为囚犯，希望让你重获自由。——《肖申克的救赎》
135,Vamei,5,2012-08-26,野心。在那样一种被打倒的人的身上，你能看到的最棒的东西，就是野心，想要好好活，让羽毛闪光的野心。
136,熊仔俠,-,,原來那個鏡頭是來自這部電影的。總算把imdb最高分的電影看了。但是我的評分就不方便給了。
137,柳上安,5,2017-03-23,善非所善恶非所恶 这个叫肖申克的囚牢里囚禁同化扭曲 安迪说自己运气不好 阴差阳错成为替罪羊 在这所监狱经历绝望 哪怕他有错 也已赎完罪 但是后来的洗黑钱逃税钻法制的漏洞呢 他与瑞德在图书馆的那场对话 他说他会是清清白白 很压抑 本片高潮处 汤姆被枪杀安迪越狱 有的是时间缺的是希望
138,哈哈哈啊啊啊,4,2018-05-20,监狱是一座有形的束缚，我们的自由更多的是被许多无形的枷锁束缚着，除了要有坚强的意志，聪慧的头脑，你还要有打破各种体制世俗的勇气。当然自由是相对的，没有人能拥有绝对的自由。像安迪一样，他是榜样。
139,启明星的指引,4,2018-04-22,男主挺帅挺聪明的，不然怎么能玩越狱。。。
140,艾伊达Ayda,4,2017-03-20,里面一句很经典的台词，生活不是为了生而活，而是为了活而生。
141,西楼尘,4,2013-08-21,看的时候生病困囿在医院里，如同监狱，这片子给了我很多阴暗的回忆。可是关于救赎关于信念，给了人启迪。
142,浣熊市垃圾回收,4,2010-11-10,在我心里显然不是第一
143,人气甜辣炸鸡,5,2017-05-03,"I guess it comes down to a simple choice:get busy living or get busy dying. 
生命可以归结为一种简单的选择：要么忙于生存，要么赶着去死"
144,纤纤,4,2017-04-25,你猜不到的结局…猜不到的惊异…
145,翠蝶🌸羽生✨💫,4,2018-05-17,这是一个非常感人的故事，关于希望和友谊的力量。与其他类型的电影一样，人们可以知道会发生什么，当然，但是当你看这部电影时你会一次又一次感到惊讶，甚至会落泪。
146,甜椒Oli,5,2017-03-26,我们都是病人 渴望活着 好好的活着 却惧怕生活
147,lichol,2,2017-04-21,真的不喜欢，不好看，没感觉
148,醉里挑灯看花,5,2018-05-15,读书时为老图书管理员惋惜：自由来得太晚，不如不来。后来觉得，朝闻道夕死可矣，不失为一种幸运。
149,bird,5,2012-11-12,如今这肖申克囚禁着整代人。
150,王老虎,5,2009-01-13,那片海蓝的太不像话了。。怎么可以那么蓝~~
151,云中,5,2009-10-10,看了一遍原著小说，觉得这个电影还是很好看
152,与你走天涯,5,2018-02-11,"很多人，可能都有被自己设置的牢笼所禁锢着的时候！没有光明，没有明天，没有希望！可能你会因此沉沦，但也可能会突破它，战胜它，最终赢得自我的升华！这部电影告诉我们的似乎就是如此！

    每一次的观赏，每一次的感动，都能带给我满满的希望！"
153,吃瓜的小土豆儿,5,2017-05-15,“记住，希望是好事——甚至也许是人间至善。而美好的事永不消失。”
154,麻辣烫,5,2018-05-29,确实经典，就是人信念的力量吧，真佩服男主的脑袋
155,Lies and lies,2,2008-06-21,令人费解的經典
156,曼仔,4,2018-08-17,十年过去了可算把这片儿给看了。。其实视听语言就很中规中矩，精品通俗故事，很多地方就很直给，是叙述而非呈现。而想讲述的东西也并不复杂。完全可以理解像这部、死亡诗社、放牛班春天为什么会获得那么高的大众口碑，是一种通俗而不至于庸俗的励志，是一个扎实沉稳的故事。不过摩根弗里曼演技真好。哦以及，电影情节生动体现了知识就是力量- -
157,办公室甜心,5,2011-12-09,"""Hope is a good thing, maybe the best of things, and no good thing ever dies."" 太让人振奋了，大约7年前和哥哥一起看过一遍，但是毫无印象，这一次体会得酣畅淋漓，铭刻于心。有的鸟儿羽翼是如此光辉，他们注定不会被囚困。"
158,北方姑娘,5,2021-08-10,"“这些墙很有趣。刚入狱的时候，你痛恨周围的高墙；慢慢地，你习惯了生活在其中；最终你会发现自己不得不依靠它而生存。这就叫体制化。”这是瑞德听闻老布死后说的一句话，他和老布，都在这围墙中度过了四五十年，早已经与外界脱轨，无法生存。陌生的环境让他们不适应到想要再犯法以便可以重新回到肖申克监狱，最终绝望自尽。
或许我们大多数人都会被惯性推着往前走，逐渐失去自由，不单是失去了身体的自由，连灵魂也锁在了那样大小的空间内。而忙着等死还是忙着活，这不是个简单的选择。这个选择需要更大的勇气，更多的付出。不能将心束缚，不能丢弃希望，无论身在何处，坚持最初的梦想。
这可能就是这部影片久久流传的原因所在吧。"
159,萌萌哒,5,2017-04-30,不只是肖申克的救赎，也是我们内心对自己的救赎
160,你看起来很美味,5,2012-02-26,他说，不要放弃希望。
161,做一件事很难吗,5,2018-04-14,第一条规矩：不准渎神，不准滥呼上帝之名！”“把信仰寄托神，把贱命交给我。印象挺深刻的
162,白竹,1,2008-08-15,我一直不知道该如何形容我对它的感觉，现在终于找到了一个词：最炫民族风。
163,已注销,5,2017-03-16,哪怕看到了这样的完美结局，依然有隐隐的不安，算不算得上缺乏安全感。。。
164,emillyhom,5,2018-05-02,经典到不知道用什么言语来评价它
165,冬叶,5,2016-05-03,完美诠释了大仲马洋洋万言的巨著想要告诉我们的：人生最宝贵的两样东西 等待和希望”关小黑屋很难熬吧 -有莫扎特陪着我 -他们让你把留声机带进去？-在我心里，这就是音乐的魅力 他们无法把它从你身上夺走“3分47秒的歌剧可能是影史上最令人难忘的古典音乐场景之一 费加罗婚礼Sull'aria唱的是希望和自由
166,青青蒹葭,5,2018-04-26,蛮值得一看的，电影很精彩。肖申克的救赎，救赎的是灵魂，渴望的是自由，只要有希望，就有可能。
167,萨德玛拉,3,2021-08-02,"想成为一个好的英语老师，首先要成为一个政治正确的精神白左。
几乎每个中学的英语老师都会给学生推荐这部电影，隐喻味道太重，监狱—体制内，自由—“自我实现”，犯人-公民。这部电影在中国大火也不是没有原因，可实际上蠢得不行，和隔壁阿甘一伙的吧。"
168,橙c,5,2017-10-20,虽然看到了旧社会的黑暗，但是又有一种心潮澎湃，又有些人性的温暖。
169,Lan~die,5,2006-10-06,"“有些鸟儿是永远关不住的，因为它们的每一片羽翼上都沾满了自由的光辉！”  
“那些高墙挺有意思，开始时候你痛恨它们，后来你就适应了。时间久了,你变得离不开它们依赖它们了。这就是体制化。” 
“希望是件美好的事，它也许是世间最美好的东西，而美好的事物永不消逝。”"
170,娜莉梦游仙境,4,2017-01-17,对自由的渴望可能不会表现出来，但是逃不过自己内心深处的渴望！哎，最后才发现是被冤枉的，看的我都纠结死了！
171,花未央2016,5,2017-05-17,希望是什么？即便在绝望中不放弃的信念。在是非善恶之虫，人终究是渺小的，而希望，让人变得伟大。
172,融化的冰糕,3,2019-12-17,小时候看，少年看，中年看，都觉得一般。
